participant_age,participant_number,response_id,response__uuid,age_range,rounded_age,age_float,gender,lan_spoken,scenario_order,fault_order,cause_order,gender_order,question,full_response
3,1,231818,819ac0fd-a5f6-4755-8ad7-2dba2b260fd7,1095-1460,1140,3.1233,m,en es,fence_second,fault_second,cause_first,girl,cause,bobby
3,1,231818,819ac0fd-a5f6-4755-8ad7-2dba2b260fd7,1095-1460,1140,3.1233,m,en es,fence_second,fault_second,cause_first,girl,lexical,bobby
3,1,231818,819ac0fd-a5f6-4755-8ad7-2dba2b260fd7,1095-1460,1140,3.1233,m,en es,fence_second,fault_second,cause_first,girl,fault,bobby
3,1,231818,819ac0fd-a5f6-4755-8ad7-2dba2b260fd7,1095-1460,1140,3.1233,m,en es,fence_second,fault_second,cause_first,boy,cause,suzy
3,1,231818,819ac0fd-a5f6-4755-8ad7-2dba2b260fd7,1095-1460,1140,3.1233,m,en es,fence_second,fault_second,cause_first,boy,lexical,suzy
3,1,231818,819ac0fd-a5f6-4755-8ad7-2dba2b260fd7,1095-1460,1140,3.1233,m,en es,fence_second,fault_second,cause_first,boy,fault,suzy
3,2,231794,9bafb5ba-63d3-4762-a4b2-a45449d6617b,1095-1460,1200,3.2877,f,en,fence_first,fault_second,cause_second,boy,lexical,andy
3,2,231794,9bafb5ba-63d3-4762-a4b2-a45449d6617b,1095-1460,1200,3.2877,f,en,fence_first,fault_second,cause_second,boy,cause,suzy
3,2,231794,9bafb5ba-63d3-4762-a4b2-a45449d6617b,1095-1460,1200,3.2877,f,en,fence_first,fault_second,cause_second,boy,fault,suzy
3,2,231794,9bafb5ba-63d3-4762-a4b2-a45449d6617b,1095-1460,1200,3.2877,f,en,fence_first,fault_second,cause_second,girl,lexical,bobby
3,2,231794,9bafb5ba-63d3-4762-a4b2-a45449d6617b,1095-1460,1200,3.2877,f,en,fence_first,fault_second,cause_second,girl,cause,bobby
3,2,231794,9bafb5ba-63d3-4762-a4b2-a45449d6617b,1095-1460,1200,3.2877,f,en,fence_first,fault_second,cause_second,girl,fault,bobby
3,3,231779,36258bec-c7cd-4ced-a017-88f927ae728f,1095-1460,1230,3.3699,f,en,fence_first,fault_second,cause_first,boy,cause,suzy
3,3,231779,36258bec-c7cd-4ced-a017-88f927ae728f,1095-1460,1230,3.3699,f,en,fence_first,fault_second,cause_first,boy,lexical,andy
3,3,231779,36258bec-c7cd-4ced-a017-88f927ae728f,1095-1460,1230,3.3699,f,en,fence_first,fault_second,cause_first,boy,fault,andy
3,3,231779,36258bec-c7cd-4ced-a017-88f927ae728f,1095-1460,1230,3.3699,f,en,fence_first,fault_second,cause_first,girl,cause,bobby caused the mirror to
3,3,231779,36258bec-c7cd-4ced-a017-88f927ae728f,1095-1460,1230,3.3699,f,en,fence_first,fault_second,cause_first,girl,lexical,bobby
3,3,231779,36258bec-c7cd-4ced-a017-88f927ae728f,1095-1460,1230,3.3699,f,en,fence_first,fault_second,cause_first,girl,fault,bobby
3,4,232073,402568ab-9ecc-4bd5-ac5d-4d6753ca3798,1095-1460,1260,3.4521,m,en,fence_first,fault_second,cause_first,girl,cause,suzy
3,4,232073,402568ab-9ecc-4bd5-ac5d-4d6753ca3798,1095-1460,1260,3.4521,m,en,fence_first,fault_second,cause_first,girl,lexical,andy
3,4,232073,402568ab-9ecc-4bd5-ac5d-4d6753ca3798,1095-1460,1260,3.4521,m,en,fence_first,fault_second,cause_first,girl,fault,suzy's
3,4,232073,402568ab-9ecc-4bd5-ac5d-4d6753ca3798,1095-1460,1260,3.4521,m,en,fence_first,fault_second,cause_first,boy,cause,sophia
3,4,232073,402568ab-9ecc-4bd5-ac5d-4d6753ca3798,1095-1460,1260,3.4521,m,en,fence_first,fault_second,cause_first,boy,lexical,sophia
